sku,nombre,principio_activo,costo,precio_fc,mejor_confianza,mejor_candidato,motivo
FC-75710113,Alu-Mag suspensión hidróxido de aluminio/magnesio 3.70/4.00 g,,23.77,39,1,ALUMINIO 3.7 GR / MAGNESIO 4 GR / SIMETICONA .5 GR SUSPENSION 320 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['240ml', '4000mg']≠['320ml', '3700mg', '4000mg', '5000mg']"
FC-62746612,Ajolotius Jarabe Sin azucar,Mezcla Herbal con vitamina C yA,87.42,119.0,5,SIMIBROX D MALTITOL Y MEZCLA DE HIERBAS SIN AZUCAR JARABE 240 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (vitamina)
FC-52400267,Ajolotius Jarabe Elderberry,Mezcla Herbal y vitaminas C y A,73.21,99.0,0,SIMIFILA CLOROFILA LIQUIDA SOLUCION 250 ML 1 PIEZA,confianza 0 < 85
FC-53601247,Rinomar Agua Isotonica,,86.9,105,0,,sin resultados VTEX
FC-01166578,Baby Son's pomada dexpantenol 5 g/100 g,,21.55,35,0,SACCHAROMYCES BOULARDI POLVO 6 SOBRES SIMI BABY,no comparable: candidato sin tamano declarado
FC-25304555,Braxigort (Nifuroxazida) suspensión 4.4 g/100 mL,Nifuroxazida,39.45,64,82,NIFUROXAZIDA SUSPENSION 1 PIEZA,no comparable: candidato sin tamano declarado
FC-36003621,Precicol hioscina/paracetamol gotas 20 mL,Hioscina + Paracetamol,37.22,60,72,PARACETAMOL / BUTILHIOSCINA 100/2 MG SOLUCION GOTAS 20 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-71829601,Tribedoce 50000 UI,Hidroxocobalamina + Tiamina + Piridoxina,73.11,98.7,70,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,"no comparable: concentracion difiere ['50000ui']≠['10000mcg', '100mg', '50mg']"
FC-37103354,Brunadol Infantil paracetamol/naproxeno 100-125 mg/5 mL,,30.57,49,20,NAPROXENO/PARACETAMOL 125/100MG/5ML SUSPENSION 100ML,"no comparable: concentracion difiere en parte ['100ml', '125mg', '5ml']≠['100mg', '100ml', '5ml']"
FC-08100099,Caltrón 600+D calcio 600 mg / vitamina D 125 UI,,106.37,171,0,BLOQUEADOR FACIAL/CORPORAL FPS50+125GR ETERNAL,"no comparable: concentracion difiere ['125ui', '600mg']≠['125000mg']"
