producto_id,codigo_barras,nombre,marca,presentacion,posicion,es_principal,url_origen,fuente,confianza,nota
339,7501868900226,Alcohol Etilico Rojo 96°,Dibar,250 ML,1,SI,https://farmasuper.com.mx/web/image/product.template/10822/image_1920,farmasuper,EAN_EXACTO,EAN 7501868900226 en el nombre del archivo de imagen
519,3311000001476,Mercurio Aceite Coco,Mercurio,50 mL,1,SI,https://www.drogueriamercurio.com.mx/images/productos/aceite-de-coco.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
527,3311000001421,Mercurio Aceite Gomenolado,Mercurio,frasco 50 mL,1,SI,https://www.drogueriamercurio.com.mx/images/productos/aceite-gomenolado.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
529,3311000000936,Mercurio óxido de zinc C/50,Mercurio,pieza (caja C/50),1,SI,https://www.drogueriamercurio.com.mx/images/productos/oxido-de-zinc.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
530,3311000003708,Mercurio Bismuto Subnitrato,Mercurio,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/subnitrato-de-bismuto.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
531,3311000003715,Bicarbonato Sobres,Bicarbonato,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/bicarbonato-de-sodio.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
532,3311000003425,Mercurio Magnesia Anisada,Mercurio,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/magnesia-anisada.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
534,3311000003739,Mercurio Borax Polvo,Mercurio,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/boraz-en-polvo.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
536,3311000003845,Mercurio Flor De Arnica,Mercurio,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/flor-de-arnica.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
538,3311000003494,Mercurio Sulfatiazol Polvo,Mercurio,C/50,1,SI,https://www.drogueriamercurio.com.mx/images/productos/polvo-de-sulfiatizol.jpg,drogueriamercurio,MARCA_OFICIAL_NOMBRE,"catalogo oficial del fabricante; match por nombre, sin EAN en la ficha"
