par,ean,estado,nombre_foto,sku,nombre_bd,codigo_bd,costo,precio,stock,nota
0001,7501075727425,eq_sin_ean,Acetif (PARACETAMOL) Tableta 500 mg Caja de cartón con 10 tabletas Novag,EQ-NOV179,Acetif 10 Tab 500 Mg,,5.72,10,10,"mismo nombre · ['500', 'acetif'] nums=['10', '500']"
0002,785118753528,fc_sin_ean,LESACLOR (ACICLOVIR) Suspensión 200 mg/5 mL caja con frasco con 125 mL MAVI,FC-B25094C4,Lesaclor,,44.43,60.0,1,mismo nombre · ['lesaclor'] nums=[]
0003,7502001164833,eq_sin_ean,"Dison's Dex (Betametasona) Suspensión Inyectable 5 mg, 2 mg C/1 amp SON'S",EQ-SON160,Disons Dex 1 Fa 5/2 Mg,,36.86,59,1,"mismo nombre · ['dex'] nums=['1', '2', '5']"
0004,7501537102982,fc_sin_ean,Celesbitan (Betametasona) Solución Inyectable 8 mg / 2 mL C/1 amp BRULUART,FC-DB3B2584,Celesbitan,,16.91,21.99,4,mismo nombre · ['celesbitan'] nums=[]
0005,7502216805361,fc_sin_ean,Celecoxib (Celecoxib) Cápsulas 200 mg C/10 ULTRA,FC-E6B50AC3,Celecoxib,,34.82,48.0,2,mismo nombre · ['celecoxib'] nums=[]
0006,7501349022799,en_inventario,ceftazidima (ceftazidima) Solución 1 g Inyectable C/1 FA AMSA,FC-357D4A17,Ceftazidima,7501349022799,45.42,59.05,2,EAN exacto
0007,7506624900519,fc_sin_ean,Ceftriaxona (Ceftriaxona) Solución 1 g Inyectable C/1 FA beadvance,FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),,9.8,12.75,2,mismo nombre · ['ceftriaxona'] nums=['1']
0008,7501349028913,falta,atorvastatina (atorvastatina) Tableta 40 mg C/10 AMSA,,,,,,,EAN nuevo
0009,7501349012004,fc_sin_ean,Amcef I.M. (ceftriaxona) Solución 1 g Inyectable C/1 FA AMSA,FC-BE76D409,Amcef IM 1 g (Inyectable),,19.72,25.64,10,mismo nombre · ['amcef'] nums=['1']
0010,7501349011007,fc_sin_ean,Amcef I.M. (ceftriaxona) Solución 500 mg Inyectable C/1 FA AMSA,FC-07F04F88,Amcef IM 500 mg (Inyectable),,19.43,25.26,2,"mismo nombre · ['500', 'amcef'] nums=['500']"
0011,7502009745737,en_inventario,Beneventol (CEFIXIMA) Suspensión 100 mg / 5 mL 50 mL Maver,FC-9B93AC4C,Beneventol,7502009745737,97.6,157.0,1,EAN exacto
0012,7501349023987,en_inventario,budesonida (budesonida) Suspensión 0.250 mg/2 mL nebulización  AMSA,FC-447B30F9,Budesonida,7501349023987,131.38,170.8,1,EAN exacto
0013,7501349022799,duplicado_lote,ceftazidima (ceftazidima) Solución 1 g Inyectable C/1 FA AMSA,FC-357D4A17,Ceftazidima,7501349022799,45.42,59.05,2,misma caja que 0006 Ceftazidima
0014,7501384541163,fc_sin_ean,Carbamazepina (Carbamazepina) Tableta 200 mg C/20 psicofarma,FC-885F2723,Carbamazepina,,18.11,29.0,6,mismo nombre · ['carbamazepina'] nums=[]
0015,7502216792579,fc_sin_ean,Captopril (Captopril) Tabletas 25 mg C/30 ULTRA,FC-82F88FED,Captopril,,7.95,13.0,5,mismo nombre · ['captopril'] nums=[]
0016,7501349024304,fc_sin_ean,budesonida (budesonida) Suspensión 0.500 mg/2 mL nebulización  AMSA,FC-281E0F22,Budesonida,,153.72,208.0,1,mismo nombre · ['budesonida'] nums=[]
