par,archivo,ean,todos,ean13_ok,nota
0001,0001_b_codigo.jpg,7501075727425,7501075727425,si,
0002,0002_b_codigo.jpg,785118753528,785118753528,no,
0003,0003_b_codigo.jpg,7502001164833,7502001164833,si,
0004,0004_b_codigo.jpg,7501537102982,7501537102982,si,
0005,0005_b_codigo.jpg,7502216805361,7502216805361,si,
0006,0006_b_codigo.jpg,7501349022799,7501349022799,si,
0007,0007_b_codigo.jpg,7506624900519,7506624900519,si,
0008,0008_b_codigo.jpg,7501349028913,7501349028913,si,
0009,0009_b_codigo.jpg,7501349012004,7501349012004,si,
0010,0010_b_codigo.jpg,7501349011007,7501349011007,si,
0011,0011_b_codigo.jpg,7502009745737,7502009745737,si,
0012,0012_b_codigo.jpg,7501349023987,7501349023987,si,
0013,0013_b_codigo.jpg,7501349022799,7501349022799,si,
0014,0014_b_codigo.jpg,7501384541163,7501384541163,si,
0015,0015_b_codigo.jpg,7502216792579,7502216792579,si,
0016,0016_b_codigo.jpg,7501349024304,7501349024304,si,
0017,0017_b_codigo.jpg,7501825304562,7501825304562,si,
0018,0018_b_codigo.jpg,7503000422498,7503000422498,si,
0019,0019_b_codigo.jpg,7503001007090,7503001007090,si,
0020,0020_b_codigo.jpg,780083140663,780083140663,no,
0021,0021_b_codigo.jpg,785120755497,785120755497,no,
0022,0022_b_codigo.jpg,7502213042745,7502213042745,si,
0023,0023_b_codigo.jpg,7502001163775,7502001163775,si,
0024,0024_b_codigo.jpg,7501342803524,7501342803524,si,
0025,0025_b_codigo.jpg,7502009746093,7502009746093,si,
0026,0026_b_codigo.jpg,7501349021983,7501349021983,si,
0027,0027_b_codigo.jpg,7502009744877,7502009744877,si,
0028,0028_b_codigo.jpg,7503000422283,7503000422283,si,
0029,0029_b_codigo.jpg,7502216804661,7502216804661,si,
0030,0030_b_codigo.jpg,7501349021570,7501349021570,si,
0031,0031_b_codigo.jpg,7501349021686,7501349021686,si,
0032,0032_b_codigo.jpg,7501349025271,7501349025271,si,
0033,0033_b_codigo.jpg,7502009740992,7502009740992,si,
0034,0034_b_codigo.jpg,7502001165311,7502001165311,si,
0035,0035_b_codigo.jpg,780083141226,780083141226,no,
0036,0036_b_codigo.jpg,7501349021488,7501349021488,si,
0037,0037_b_codigo.jpg,7501349021440,7501349021440,si,
0038,0038_b_codigo.jpg,7502009740763,7502009740763,si,
0039,0039_b_codigo.jpg,7502009740503,7502009740503,si,
0040,0040_b_codigo.jpg,7502009740497,7502009740497,si,
0041,0041_b_codigo.jpg,7503001007250,7503001007250,si,
0042,0042_b_codigo.jpg,7503001007199,7503001007199,si,
0043,0043_b_codigo.jpg,7501349022881,7501349022881,si,
0044,0044_b_codigo.jpg,7501349011175,7501349011175,si,
0045,0045_b_codigo.jpg,7501349012172,7501349012172,si,
0046,0046_b_codigo.jpg,7503000422757,7503000422757,si,
0047,0047_b_codigo.jpg,54321342,54321342,no,
0048,0048_b_codigo.jpg,7501384504908,7501384504908,si,leído a ojo
0049,0049_b_codigo.jpg,7502240450018,7502240450018,si,
0050,0050_b_codigo.jpg,7503001007113,7503001007113,si,
0051,0051_b_codigo.jpg,7502001165328,7502001165328,si,
0052,0052_b_codigo.jpg,5887400973807,5887400973807,si,
0053,0053_b_codigo.jpg,7501258210393,7501258210393,si,
0054,0054_b_codigo.jpg,741339020894,741339020894,no,
0055,0055_b_codigo.jpg,7502001165328,7502001165328,si,
0056,0056_b_codigo.jpg,7502001169296,7502001169296,si,
0057,0057_b_codigo.jpg,581520933707,581520933707,no,
0058,0058_b_codigo.jpg,7503000422696,7503000422696,si,
0059,0059_b_codigo.jpg,7502009741050,7502009741050,si,
0060,0060_b_codigo.jpg,7502009741067,7502009741067,si,
0061,0061_b_codigo.jpg,7502009741289,7502009741289,si,
0062,0062_b_codigo.jpg,019828833707,019828833707,no,
0063,0063_b_codigo.jpg,7503001007120,7503001007120,si,
0064,0064_b_codigo.jpg,7502009741425,7502009741425,si,
0065,0065_b_codigo.jpg,817317520707,817317520707,no,
0066,0066_b_codigo.jpg,7502009741296,7502009741296,si,
0067,0067_b_codigo.jpg,7301348804309,7301348804309,si,
0068,0068_b_codigo.jpg,7503000422719,7503000422719,si,
0069,0069_b_codigo.jpg,7502009749223,7502009749223,si,
0070,0070_b_codigo.jpg,7501109763375,7501109763375,si,
0071,0071_b_codigo.jpg,7502001163782,7502001163782,si,
0072,0072_b_codigo.jpg,52200809,52200809,no,
0073,0073_b_codigo.jpg,7502001165533,7502001165533,si,
0074,0074_b_codigo.jpg,7502009745119,7502009745119,si,
0075,0075_b_codigo.jpg,7501349021044,7501349021044,si,
0076,0076_b_codigo.jpg,7501349026094,7501349026094,si,
0077,0077_b_codigo.jpg,7502009741302,7502009741302,si,
0078,0078_b_codigo.jpg,7502213042325,7502213042325,si,
0079,0079_b_codigo.jpg,7502009740480,7502009740480,si,
0080,0080_b_codigo.jpg,7501075715927,7501075715927,si,
0081,0081_b_codigo.jpg,7502001162976,7502001162976,si,
0082,0082_b_codigo.jpg,7502009741043,7502009741043,si,
0083,0083_b_codigo.jpg,7502009740206,7502009740206,si,
0084,0084_b_codigo.jpg,7502009745140,7502009745140,si,
0085,0085_b_codigo.jpg,7502009745614,7502009745614,si,
0086,0086_b_codigo.jpg,7502009741500,7502009741500,si,
0087,0087_b_codigo.jpg,7502009745126,7502009745126,si,
0088,0088_b_codigo.jpg,785120753530,785120753530,no,
0089,0089_b_codigo.jpg,7502001163782,7502001163782,si,
0090,0090_b_codigo.jpg,7502213042752,7502213042752,si,
0091,0091_b_codigo.jpg,7501075717860,7501075717860,si,leído a ojo
0092,0092_b_codigo.jpg,7502009747656,7502009747656,si,
0093,0093_b_codigo.jpg,7501573900337,7501573900337,si,
0094,0094_b_codigo.jpg,7501349028791,7501349028791,si,
0095,0095_b_codigo.jpg,7503001007069,7503001007069,si,
0096,0096_b_codigo.jpg,7501342803524,7501342803524,si,
0097,0097_b_codigo.jpg,7501342803524,7501342803524,si,
0098,0098_b_codigo.jpg,7501349021051,7501349021051,si,
0099,0099_b_codigo.jpg,5178190973703,5178190973703,si,
0100,0100_b_codigo.jpg,7502009745928,7502009745928,si,
0101,0101_b_codigo.jpg,7502009740763,7502009740763,si,
0102,0102_b_codigo.jpg,7503001007205,7503001007205,si,
0103,0103_b_codigo.jpg,7501825304579,7501825304579,si,
0104,0104_b_codigo.jpg,785118752330,785118752330,no,
0105,0105_b_codigo.jpg,780083140663,780083140663,no,
0106,0106_b_codigo.jpg,785118754242,785118754242,no,
0107,0107_b_codigo.jpg,7503000422498,7503000422498,si,
