sku,ean,nombre,marca,presentacion,stock,motivo
"FC-07521317","7501507521317","Gotero cristal","Genérico","","99","insumo_generico_dificil"
"FC-22300881","7506022300881","Jeringa insulina SensiMedical 1 mL 27G x 13 mm","SensiMedical","1 pieza 1 mL 27G x 13 mm","99","insumo_generico_dificil"
"FMX-506389","7506022300829","Jeringa SensiMedical 5 mL 21G x 32 mm verde","SensiMedical","Pieza 5 mL 21G x 32 mm (caja C/100 verde)","97","insumo_generico_dificil"
"FMX-307658","7506022314741","Jeringa SensiMedical 20 mL 21G x 32 mm verde","SensiMedical","Pieza 20 mL 21G x 32 mm (caja C/50 verde)","50","insumo_generico_dificil"
"IFC-ALCANFOR","7503048936018","Velázquez alcanfor pastillas C/50 sobres","Velázquez","Caja con 50 sobres","50","ean_sin_packshot_publico_encontrado"
"FC-68900226","7501868900226","Alcohol Etilico Rojo 96°","Dibar","250 ML","36","ean_sin_packshot_publico_encontrado"
"FC-17500820","7503017500820","Sanax Silica Gran","Sanax","","18","ean_sin_packshot_publico_encontrado"
"FMX-301138","","Cinta-Microporosa-Codifarma 2.5 Cm X 5 M C/1 Blanco","","","17","sin_ean"
"FC-08491074","7501008491074","Aspirina","Aspirina","80 TABLETAS","16","ean_sin_packshot_publico_encontrado"
"FC-BCF59548","2008480100010","Perilla Edigar N1 (jeringa pera toda de hule)","Edigar","PIEZA","12","ean_interno"
"FC-IFC-PEI01","2008560100015","Peine caballero profesional N1 C/12","","Paquete con 12","12","ean_interno"
"FMX-301565","7506022307897","Jeringa-Sensimedical 60 Ml Pivote/Concentrico","sensimedical","C/1","11","insumo_generico_dificil"
"FC-LV-SKITTLES24","7502226816944","Skittles Original bolsa","Skittles","Bolsa (caja mayoreo 24/10PZ)","10","ean_sin_packshot_publico_encontrado"
"FC-84500607","7506484500607","Cinta micropore blanca 2.5 cm x 9.1 m","Cintapore","1 pz","8","insumo_generico_dificil"
"FC-75073114","75073114","Rexona Men Clinical Clean stick 46 g","","","7","ean_sin_packshot_publico_encontrado"
"FC-06246652","7506306246652","Jabón Dove blanco 90 g","","","6","ean_sin_packshot_publico_encontrado"
"FC-26EA40A4","","Ramcinet","Ramcinet","10 TABLETAS","6","sin_ean"
"EQ-ALP0634","7502226294766","Losartan Alpharma 30 tab 50 mg","Alpharma","Caja con 30 tabletas","5","ean_sin_packshot_publico_encontrado"
"EQ-NOV176","7501075727517","Pirinovag 10 Tab 500 Mg","Novag","Caja con 10 tabletas","5","ean_sin_packshot_publico_encontrado"
"FC-00001049","3311000001049","Pomada de árnica Tarro 50 g Mercurio","Mercurio","Tarro 50 g","5","mercurio_herbolario_sin_packshot_publico"
"FC-08895196","7502208895196","KY6","KY6","C/10","5","ean_sin_packshot_publico_encontrado"
"FC-08DB70CB","7503022640153","Bicarbonato Velazquez Grande 200G","Bicarbonato","bolsa 200g","5","ean_sin_packshot_publico_encontrado"
"FC-45720215","7502245720215","Quitaesmalte SKN · variante 215 · confirmar","SKN","100 ML","5","ean_sin_packshot_publico_encontrado"
"FC-46601138","7506346601138","Merthorab Frasco 20 mL Kohn","Kohn","Frasco 20 mL","5","ean_sin_packshot_publico_encontrado"
"FC-50343065","7502250343065","VITACILINA 2X1 16g","","","5","ean_sin_packshot_publico_encontrado"
"FC-64EB83AA","","Compl","Bencil/Benz","1 FRASCO AMPULA","5","sin_ean"
"FC-926099D3","","Mertiolate Kohn Rojo","Mertiolate","C/25","5","sin_ean"
"FC-931B4809","3311000001476","Mercurio Aceite Coco","Mercurio","50 mL","5","mercurio_herbolario_sin_packshot_publico"
"FC-95779436","","Acetilsalicilico Ef","Acido","20 TABLETAS","5","sin_ean"
"FC-A0D320D1","","Amoxicilina","","12 CAPSULAS","5","sin_ean"
"FC-IFC-PER01","2008540100011","Perfilador Tinkle C/3 pzs","Tinkle","Blister con 3","5","ean_interno"
"FMX-301135","7506484500515","Cintapore cinta microporosa blanca 1.25 cm x 5 m","Cintapore","Rollo 1.25 cm x 5 m blanca","5","insumo_generico_dificil"
"FMX-506935","","Normogotero-Sensimedical Piezas C/1 S/Aguja","","","5","sin_ean"
"FC-45720567","7502245720567","Quitaesmalte coco","SKN","100 ML","4","ean_sin_packshot_publico_encontrado"
"FC-73909859","7501573909859","Sarox (Omeprazol) 20 mg","Biomep","Caja con 28 cápsulas","4","ean_sin_packshot_publico_encontrado"
"FC-75102520","7506475102520","Gerber Etapa 2 comida casera res 100 g","","","4","ean_sin_packshot_publico_encontrado"
"FC-75102537","7506475102537","Gerber Etapa 2 comida casera pollo 100 g","","","4","ean_sin_packshot_publico_encontrado"
"FC-IFC-TIJ01","2008510100010","Tijera para bigote","","Pieza","4","ean_interno"
"FC-00001612","3311000001612","Jarabe de granada Frasco 50 mL Mercurio","Mercurio","Frasco 50 mL","3","mercurio_herbolario_sin_packshot_publico"
"FC-02045312","7503002045312","Esencia de clavo Frasco gotero Herbotec","Herbotec","Frasco gotero","3","insumo_generico_dificil"
"FC-06251847","7506306251847","DESOD AXE BLACK REMIX SPY 210 ML","Axe","210 ml","3","ean_sin_packshot_publico_encontrado"
"FC-45720574","7502245720574","Quitaesmalte SKN · variante 574 · confirmar","SKN","100 ML","3","ean_sin_packshot_publico_encontrado"
"FC-63975795","","Gentamicina","","25 COMPRIMIDOS","3","sin_ean"
"FC-69387811","3311000001421","Mercurio Aceite Gomenolado","Mercurio","frasco 50 mL","3","mercurio_herbolario_sin_packshot_publico"
"FC-75102469","7506475102469","Gerber Etapa 2 mango 100 g","","","3","ean_sin_packshot_publico_encontrado"
"FC-75102476","7506475102476","Gerber Etapa 2 durazno 100 g","","","3","ean_sin_packshot_publico_encontrado"
"FC-9827438F","3311000000882","Mercurio Veneno De Abeja","Mercurio","frasco 50 g","3","mercurio_herbolario_sin_packshot_publico"
"FC-C4530823","3311000000936","Mercurio óxido de zinc C/50","Mercurio","frasco 50 g","3","mercurio_herbolario_sin_packshot_publico"
"FC-DFF99C3F","","Mercurio","Mercurio","JARABE","3","sin_ean"
"FC-IFC-PEI03","2008580100019","Peine para piojos de acero económico 9309","","Pieza","3","ean_interno"
"FMX-301139","7506484500539","Cintapore cinta microporosa 1.25 cm x 5 m piel","CINTAPORE","1 ROLLO","3","insumo_generico_dificil"
"EQ-BIO212","7501573909958","Colchicina 30 Tab 1 Mg","Biomep","Caja con 30 tabletas","2","ean_sin_packshot_publico_encontrado"
"FC-03440534","3616303440534","ADIDAS 150ML SPY CONTROL","Adidas","150 ml","2","ean_sin_packshot_publico_encontrado"
"FC-08491096","7501008491096","Cafiaspirina tartrato C/100","Cafiaspirina","C/100","2","ean_sin_packshot_publico_encontrado"
"FC-18132592","761318132592","PEINES REVLON SALON CARBON 2PK","Revlon","2 pzas","2","insumo_generico_dificil"
"FC-21187575","7502221187575","DESOD BRUT DEEPBLUE 48HR SPY150ML","Brut","150 ml","2","ean_sin_packshot_publico_encontrado"
"FC-25108747","3614225108747","KOLESTON CASTAÑO 40","","","2","ean_sin_packshot_publico_encontrado"
"FC-25108761","3614225108761","KOLESTON BORGOÑA INTENSO 466","","","2","ean_sin_packshot_publico_encontrado"
"FC-25108877","3614225108877","KOLESTON RUBIO MEDIO 70","","","2","ean_sin_packshot_publico_encontrado"
"FC-25629442","7506425629442","ESCUDO SOL ANTISEP P/MAN SPY 200ML ENE27","Escudo","200 ml","2","ean_sin_packshot_publico_encontrado"
"FC-27879597","7502227879597","Oxitetraciclina 500 mg 16 cápsulas","","","2","ean_sin_packshot_publico_encontrado"
"FC-2E5B7248","","Reumatol","Del Viejito","60 G","2","sin_ean"
"FC-40036354","6502400363548","Genoprazol tabletas C/7","Genoprazol","7 CAPSULAS","2","ean_sin_packshot_publico_encontrado"
"FC-46505283","7501846505283","Xiomara Cera Mate","Xiomara","","2","ean_sin_packshot_publico_encontrado"
"FC-46698137","7509546698137","C D COLGATE LUMIN W COHIT BRILL 66MLN","Colgate","66 ml","2","ean_sin_packshot_publico_encontrado"
"FC-53008221","855553008221","Encendedor desechable Riegel","Riegel","1 pieza","2","ean_sin_packshot_publico_encontrado"
"FC-5D59ED54","3311000000776","Mercurio Cloruro De Magnesio Cajita","Mercurio","bolsa 100g","2","mercurio_herbolario_sin_packshot_publico"
"FC-614E4F82","","Perilla N3","Edigar","PIEZA","2","sin_ean"
"FC-82200016","7501482200016","Omeprazol Aktyzar","Aktyzar","C/120","2","ean_sin_packshot_publico_encontrado"
"FC-82731071","7501082731071","DESOD NUVEL TROPIC WOM SPY 170 ML","Nuvel","170 ml","2","ean_sin_packshot_publico_encontrado"
"FC-82736021","7501082736021","DEO NUVEL ACLA WOM SPY150ML","Nuvel","150 ml","2","ean_sin_packshot_publico_encontrado"
"FC-84313295","759684313295","JALOMA ATOMIZADOR 60ML MERTODOL BLANCO","Jaloma","60 ml","2","ean_sin_packshot_publico_encontrado"
"FC-89100101","7501868910010","Algodón 200 g","Dibar","200 G","2","ean_sin_packshot_publico_encontrado"
"FC-9A1C64E7","","Perilla Edigar N O Caja","Perilla","","2","sin_ean"
