par,portada,codigo,ean,nombre_foto,estado,sku,nota
0001,0001_a_portada.jpg,0001_b_codigo.jpg,7502009748929,Flausiver () Gel corporal 100 g Maver,eq_sin_ean,EQ-MAV376,corregido a mano
0002,0002_a_portada.jpg,0002_b_codigo.jpg,7501349024267,ketorolaco (ketorolaco) Solución 30 mg/mL inyectable Caja con 3 ampolletas AMSA,falta,,otra presentación / no encaja
0003,0003_a_portada.jpg,0003_b_codigo.jpg,7501349023369,Ketorolaco (Ketorolaco) Tableta 30 mg  AMSA,falta,,EAN nuevo
0004,0004_a_portada.jpg,0004_b_codigo.jpg,7502009740244,Lorotec (Ketorolaco) Tableta 10 mg Caja con 10 tabletas Maver,eq_sin_ean,EQ-MAV043,corregido a mano
0005,0005_a_portada.jpg,0005_b_codigo.jpg,785118752941,Mavifem (Clindamicina/Ketoconazol) Crema vaginal Tubo 30 g + 6 aplicadores MAVI,eq_sin_ean,EQ-MAI152,corregido a mano
0006,0006_a_portada.jpg,0006_b_codigo.jpg,7501349027329,dexametasona (dexametasona) Solución 8 mg/2 mL inyectable Caja con 1 ampolleta AMSA,falta,,otra presentación / no encaja
0007,0007_a_portada.jpg,0007_b_codigo.jpg,7501249600813,Levotiroxina (Levotiroxina) Tableta 100 mcg Caja con 100 tabletas Tempus,eq_sin_ean,EQ-TEM009,corregido a mano
0008,0008_a_portada.jpg,0008_b_codigo.jpg,7502216804814,Amlodipino (Amlodipino) Tableta 5 mg Frasco con 100 tabletas Avivia,fc_sin_ean,FC-4A0245DA,corregido a mano
0009,0009_a_portada.jpg,0009_b_codigo.jpg,7502009746239,"Erispan Compuesto (Loratadina, Betametasona) Tableta 5/0.25 mg Caja con 10 tabletas Maver",falta,,EAN nuevo
0010,0010_a_portada.jpg,0010_b_codigo.jpg,7501075717150,Lizovag (Ketoconazol) Tabletas 200 mg Caja con 10 tabletas Novag,eq_sin_ean,EQ-NOV032,corregido a mano
0011,0011_a_portada.jpg,0011_b_codigo.jpg,7502211784036,Zukedib (Glimepirida) Tableta 4 mg Caja con 30 tabletas Loeffler,fc_sin_ean,FC-3D0ED22B,corregido a mano
0012,0012_a_portada.jpg,0012_b_codigo.jpg,7502209858237,Elaphterón (Lamotrigina) Tableta 25 mg dispersable Caja con 28 tabletas Avitus,fc_sin_ean,FC-9ABFB996,corregido a mano
0013,0013_a_portada.jpg,0013_b_codigo.jpg,7503004908721,Fluocinolona (Fluocinolona) Crema 0.01% Tubo 40 g Alpharma,fc_sin_ean,FC-1BF03D35,corregido a mano
0014,0014_a_portada.jpg,0014_b_codigo.jpg,7501249606778,Postday (Levonorgestrel) Comprimido 1.5 mg Caja con 1 comprimido ifa,eq_sin_ean,EQ-IFA001,corregido a mano
0015,0015_a_portada.jpg,0015_b_codigo.jpg,7503027446408,Lorefic-D (Colecalciferol) Cápsula 4000 UI Caja con 30 cápsulas,eq_sin_ean,EQ-PGE059,corregido a mano
0016,0016_a_portada.jpg,0016_b_codigo.jpg,7502009746727,Cariden (Deflazacort) Tableta 6 mg Caja con 20 tabletas Maver,falta,,otra presentación / no encaja
0017,0017_a_portada.jpg,0017_b_codigo.jpg,7501075722543,Pabesorag (Irbesartán-HCTZ) Tabletas 150/12.5 mg Caja con 28 tabletas Novag,fc_sin_ean,FC-5885E577,corregido a mano
0018,0018_a_portada.jpg,0018_b_codigo.jpg,7501349024922,citalopram (citalopram) Tableta 20 mg Caja con 14 tabletas AMSA,eq_sin_ean,EQ-AMS472,corregido a mano
0019,0019_a_portada.jpg,0019_b_codigo.jpg,780083140021,"Otilin (Lidocaína, Neomicina) Gotas 20 mL  Collins",eq_sin_ean,EQ-COL073,corregido a mano
0020,0020_a_portada.jpg,0020_b_codigo.jpg,785120754681,Hidroxin (Hidroxizina) Tabletas 10 mg Caja con 30 tabletas MAVI,eq_sin_ean,EQ-MAI099,corregido a mano
0021,0021_a_portada.jpg,0021_b_codigo.jpg,785120755442,Pralex (Escitalopram) Tableta 10 mg Caja con 28 tabletas MAVI,fc_sin_ean,FC-04D83B46,corregido a mano
0022,0022_a_portada.jpg,0022_b_codigo.jpg,7501563380286,Indometacina (Indometacina) Cápsula 25 mg Caja con 30 cápsulas,eq_sin_ean,EQ-RAD082,corregido a mano
0023,0023_a_portada.jpg,0023_b_codigo.jpg,75058661,Hialuronato de sodio (Hialuronato de sodio) Gotas 4 mg/mL Frasco 10 mL OPKO,fc_sin_ean,FC-A2B284E0,corregido a mano
0024,0024_a_portada.jpg,0024_b_codigo.jpg,7502223112346,Histapharm (Desloratadina) Tabletas 5 mg Caja con 10 tabletas Quimpharma,eq_sin_ean,EQ-QUM043,corregido a mano
0025,0025_a_portada.jpg,0025_b_codigo.jpg,7501349029712,"dexametasona neomicina (Dexametasona, Neomicina) Gotas 1/3.5 mg/mL  AMSA",falta,,otra presentación / no encaja
0026,0026_a_portada.jpg,0026_b_codigo.jpg,7501349020535,irbesartán (Irbesartán) Tableta 300 mg  AMSA,falta,,EAN nuevo
0027,0027_a_portada.jpg,0027_b_codigo.jpg,7501573909958,Colchicina (Colchicina) Tableta 1 mg Caja con 30 tabletas Biomep,eq_sin_ean,EQ-BIO212,corregido a mano
0028,0028_a_portada.jpg,0028_b_codigo.jpg,500487172707,Feniffler-T (Fenitoína) Tableta 100 mg Frasco 50 tabletas Loeffler,eq_sin_ean,EQ-LOE058,corregido a mano
0029,0029_a_portada.jpg,0029_b_codigo.jpg,7501563380439,Calcio (Calcio) Comprimido efervescente 500 mg Tubo 12 Raam,eq_sin_ean,EQ-RAD096,corregido a mano
0030,0030_a_portada.jpg,0030_b_codigo.jpg,7502004401409,"Dexne Nasal (Fenilefrina, Dexametasona, Neomicina) Gotas Frasco 10 mL Offenbach",falta,,otra presentación / no encaja
0031,0031_a_portada.jpg,0031_b_codigo.jpg,7501342803418,Dexametasona (Dexametasona) Tableta 0.5 mg Caja con 20 tabletas beadvance,eq_sin_ean,EQ-BEA342,corregido a mano
0032,0032_a_portada.jpg,0032_b_codigo.jpg,7502009741326,"Doltrix (Clonixinato, Hioscina) Inyectable 100/20 mg Caja con 3+3 amp Maver",eq_sin_ean,EQ-MAV140,corregido a mano
0033,0033_a_portada.jpg,0033_b_codigo.jpg,7502001162600,"Poral Ótico (Hidrocortisona, Cloranfenicol, Benzocaína) Gotas 10 mL  SON'S",eq_sin_ean,EQ-SON193,corregido a mano
0034,0034_a_portada.jpg,0034_b_codigo.jpg,7506335700019,Steryx (Finasterida) Tableta 5 mg Caja con 30 tabletas Accord,eq_sin_ean,EQ-ACC066,corregido a mano
0035,0035_a_portada.jpg,0035_b_codigo.jpg,7502274791163,Vixgoplisol (Levetiracetam) Tabletas 500 mg Caja con 60 tabletas Solfrán,eq_sin_ean,EQ-SOF041,corregido a mano
0036,0036_a_portada.jpg,0036_b_codigo.jpg,7501349022249,levetiracetam (Levetiracetam) Tabletas 1000 mg  AMSA,eq_sin_ean,EQ-AMS497,corregido a mano
0037,0037_a_portada.jpg,0037_b_codigo.jpg,7502216806474,Levonorgestrel (Levonorgestrel) Tabletas 1.5 mg Caja con 1 tableta Ultra,eq_sin_ean,EQ-ULT230,corregido a mano
0038,0038_a_portada.jpg,0038_b_codigo.jpg,7501349012943,fluconazol (fluconazol) Cápsula 150 mg Caja con 1 cápsula AMSA,en_inventario,FC-5BC5F234,EAN exacto
0039,0039_a_portada.jpg,0039_b_codigo.jpg,7502009746178,Avattor (Leflunomida) Comprimido 20 mg Caja con 30 comprimidos Maver,eq_sin_ean,EQ-MAV358,corregido a mano
0040,0040_a_portada.jpg,0040_b_codigo.jpg,7502009741487,"Doltrix (Clonixinato, Hioscina) Tableta 250/10 mg Caja con 10 tabletas Maver",falta,,EAN nuevo
